Commonname,individualCount,,
Northern rustic ,1,,
Small wainscot,2,,
Square spot rustic ,2,,
Crane fly ,3,,
Money spider,1,,
Scentless plant bugs,1,,
Convolvulus hawk moth,1,,
Crane fly ,1,,
Parasitic wasps,2,,
Cinnamon sedge caddisfly,1,,
Black rustic ,3,,
Square spot rustic ,3,,
Larval geometrid,1,,
Marsh crane fly ,2,,
Large yellow underwing,1,,
Autumnal rustic ,1,,
Heath rustic ,1,,
Large pale masoner ,1,,
The anomalous,1,,
Black rustic ,1,,
Square spot rustic ,5,,
Caddis fly,1,,
Garden dart,1,,
Crane fly ,4,,
Mosquito,1,,
Fly,1,,
Green carpet moth,1,,
Mottled rustic,1,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
