Commonname,individualCount,organismQuantity,
Bracken,1,100,
European blackberry,1,20,
Common bent,1,50,
Bracken,1,100,
Hedge bedstraw,1,50,
Bracken,1,100,
Hedge bedstraw,1,60,
European blackberry,1,10,
Big shaggy-moss,1,100,
Wood sage,1,15,
European honeysuckle,1,20,
Bracken,1,100,
Big shaggy-moss,1,50,
Wood sage,1,5,
Bracken,1,100,
European blackberry,1,25,
Bracken,1,100,
European blackberry,1,60,
Big shaggy-moss,1,40,
European blackberry,1,33,
Bracken,1,100,
Big shaggy-moss,1,40,
Bracken,1,100,
Creeping buttercup,1,25,
Big shaggy-moss,1,60,
Tormentil,1,5,
European blackberry,1,35,
Bracken,1,100,
European blackberry,1,10,
Bracken,1,100,
European blackberry,1,33,
Hedge bedstraw,1,40,
European blackberry,1,3,
Common bent,1,10,
Gorse,1,10,
Big shaggy-moss,1,60,
Common heather,1,90,
Bell heather,1,10,
Big shaggy-moss,1,80,
Wood sage,1,5,
Common heather,1,90,
Bell heather,1,5,
Bracken,1,5,
Tormentil,1,5,
Big shaggy-moss,1,80,
Broom fork-moss,1,15,
Common heather,1,55,
Bell heather,1,35,
Bracken,1,10,
Big shaggy-moss,1,90,
Tormentil,1,5,
Common heather,1,80,
Bell heather,1,15,
Bracken,1,5,
Tormentil,1,5,
Big shaggy-moss,1,90,
Wood sage,1,15,
Bracken,1,10,
Wavy hair-grass,1,80,
Tormentil,1,10,
Yorshire fog,1,20,
Hedge bedstraw,1,80,
Common foxglove,1,5,
Common heather,1,60,
Bell heather,1,20,
Big shaggy-moss,1,80,
Yorshire fog,1,10,
Broom fork-moss,1,5,
Wood sage,1,5,
Hedge bedstraw,1,80,
Wavy hair-grass,1,5,
Common heather,1,40,
Bell heather,1,30,
Big shaggy-moss,1,50,
Yorshire fog,1,10,
Hedge bedstraw,1,20,
Creeping buttercup,1,5,
Bell heather,1,70,
Wavy hair-grass,1,20,
Soft rush,1,5,
Hedge bedstraw,1,70,
Creeping buttercup,1,5,
Big shaggy-moss,1,40,
Common heather,1,95,
Bell heather,1,5,
Tormentil,1,5,
Big shaggy-moss,1,90,
Common heather,1,95,
Bell heather,1,5,
Tormentil,1,5,
Big shaggy-moss,1,90,
Wavy hair-grass,1,33,
Hedge bedstraw,1,60,
Little mouse-ear chickweed,1,5,
Yorshire fog,1,33,
Sweet vernal grass,1,20,
Wavy hair-grass,1,60,
Sweet vernal grass,1,40,
Hedge bedstraw,1,80,
Big shaggy-moss,1,90,
Tormentil,1,5,
Wavy hair-grass,1,70,
Yorshire fog,1,30,
Hedge bedstraw,1,70,
Big shaggy-moss,1,90,
Bracken,1,5,
Wavy hair-grass,1,70,
Hedge bedstraw,1,80,
Sweet vernal grass,1,10,
Yorshire fog,1,20,
Hedge bedstraw,1,80,
Tufted hair grass,1,80,
Yellow pimpernel,1,5,
Yorshire fog,1,10,
Wavy hair-grass,1,90,
Marsh violet,1,5,
Hedge bedstraw,1,60,
European blackberry,1,10,
Bracken,1,10,
Hedge bedstraw,1,70,
Tormentil,1,5,
Yorshire fog,1,80,
Yorshire fog,1,20,
Wavy hair-grass,1,80,
Marsh violet,1,5,
Hedge bedstraw,1,65,
St. johns wort,1,5,
Tufted hair grass,1,90,
Yorshire fog,1,10,
Hedge bedstraw,1,20,
Sweet vernal grass,1,30,
Bracken,1,5,
Wavy hair-grass,1,40,
Hedge bedstraw,1,60,
Big shaggy-moss,1,50,
Wood sorrel,1,5,
Yorshire fog,1,30,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
