Commonname,individualCount,organismQuantity,
Common nettle,1,15,
Mat grass,1,85,
Tufted hairgrass,1,15,
White clover,1,85,
Common bent,1,3,
Mat grass,1,60,
Common bent,1,8,
White clover,1,20,
Mat grass,1,80,
Hard rush,1,40,
Soft rush,1,40,
Mat grass,1,95,
Tormentil,1,25,
Mat grass,1,90,
Tormentil,1,15,
Tufted hairgrass,1,20,
Yorkshire fog,1,15,
Sedge,1,20,
Soft rush,1,30,
Tufted hairgrass,1,20,
Tormentil,1,50,
Mat grass,1,80,
Sedge,1,5,
Bracken,1,15,
Mat grass,1,100,
Bog myrtle,1,10,
Sphagnum moss,1,5,
Sedge,1,60,
Yorkshire fog,1,3,
Mat grass,1,100,
Tormentil,1,30,
Heath bedstraw,1,40,
Yorkshire fog,1,5,
Mat grass,1,100,
Tormentil,1,5,
Bracken,1,80,
Mat grass,1,100,
Big shaggy moss,1,20,
Bracken,1,15,
Mat grass,1,80,
Tormentil,1,5,
Bracken,1,25,
Mat grass,1,90,
Common nettle,1,5,
Mat grass,1,20,
Marsh violet,1,8,
Bracken,1,30,
Bracken,1,5,
Tormentil,1,5,
Mat grass,1,90,
Bracken,1,35,
Marsh violet,1,20,
Mat grass,1,100,
Tormentil,1,5,
Heath bedstraw,1,40,
Bracken,1,70,
Mat grass,1,90,
Common bent,1,5,
Mat grass,1,95,
Yorkshire fog,1,2,
Bracken,1,30,
Mat grass,1,95,
Primrose,1,10,
Heath bedstraw,1,35,
Mat grass,1,100,
Big shaggy moss,1,10,
Tormentil,1,10,
Tufted hairgrass,1,5,
Heath bedstraw,1,10,
Yorkshire fog,1,5,
Mat grass,1,90,
Tormentil,1,3,
Common bent,1,5,
Yorkshire fog,1,5,
Heath bedstraw,1,25,
Common haircap,1,30,
Bracken,1,15,
Tormentil,1,15,
Mat grass,1,80,
Heath bedstraw,1,10,
Common bent,1,2,
Yorkshire fog,1,10,
Bracken,1,3,
Tormentil,1,3,
Mat grass,1,95,
Common bent,1,1,
Yorkshire fog,1,5,
Tormentil,1,20,
Bracken,1,5,
Mat grass,1,95,
Sedge,1,15,
Common haircap,1,25,
Tormentil,1,15,
Sedge,1,2,
Yorkshire fog,1,5,
Mat grass,1,40,
Yorkshire fog,1,5,
Tufted hairgrass,1,2,
Common bent,1,2,
Mat grass,1,100,
Sedge,1,5,
